Unicode_Char	CodePoint	Codepoint_hexa	composed_char	composed_char_codepoints	composed_char_codepoints_hexa	BetaCode	Description
Α	913	U+391	Α	913	U+391	*A	uppercase alpha
Ᾰ	8120	U+1FB8	Ᾰ	913,774	U+391-U+306	*'A	uppercase alpha+short_sign
Ᾱ	8121	U+1FB9	Α¯	913,175	U+391-U+AF	*&A	uppercase alpha+long_sign
ᾼ	8124	U+1FBC	ᾼ	913,837	U+391-U+345	*|A	uppercase alpha+hypogegrammeni
Ά	902	U+386	Ά	913,769	U+391-U+301	*/A	uppercase alpha+oxia
Άͅ	902-837	U+386-U+345	Άͅ	913,769,837	U+391-U+301-U+345	*/|A	uppercase alpha+oxia+hypogegrammeni
Ὰ	8122	U+1FBA	Ὰ	913,768	U+391-U+300	*\A	uppercase alpha+varia
Ὰͅ	8122-837	U+1FBA-U+345	Ὰͅ	913,768,837	U+391-U+300-U+345	*\|A	uppercase alpha+varia+hypogegrammeni
Ὰͅ	8122-837	U+1FBA-U+345	Ὰͅ	913,768,837	U+391-U+300-U+345	*\|A	uppercase alpha+varia+hypogegrammeni
Ἀ	7944	U+1F08	Ἀ	913,787	U+391-U+313	*)A	uppercase alpha+psili
ᾈ	8072	U+1F88	ᾈ	913,787,837	U+391-U+313-U+345	*)|A	uppercase alpha+psili+hypogegrammeni
Ἄ	7948	U+1F0C	Ἄ	913,787,769	U+391-U+313-U+301	*)/A	uppercase alpha+psili+oxia
ᾌ	8076	U+1F8C	ᾌ	913,787,769,837	U+391-U+313-U+301-U+345	*)/A|	uppercase alpha+psili+oxia+hypogegrammeni
Ἂ	7946	U+1F0A	Ἂ	913,787,768	U+391-U+313-U+300	*)\A	uppercase alpha+psili+varia
ᾊ	7946-837	U+1F0A-U+345	ᾊ	913,787,768,837	U+391-U+313-U+300-U+345	*)\A|	uppercase alpha+psili+varia+hypogegrammeni
Ἆ	7950	U+1F0E	Ἆ	913,787,834	U+391-U+313-U+342	*)=A	uppercase alpha+psili+perispomeni
ᾎ	8078	U+1F8E	ᾎ	913,787,834,837	U+391-U+313-U+342-U+345	*)=A|	uppercase alpha+psili+perispomeni+hypogegrammeni
Ἁ	7945	U+1F09	Ἁ	913,788	U+391-U+314	*(A	uppercase alpha+dasia
ᾉ	8073	U+1F89	ᾉ	913,788,837	U+391-U+314-U+345	*(|A	uppercase alpha+dasia+hypogegrammeni
Ἅ	7949	U+1F0D	Ἅ	913,788,769	U+391-U+314-U+301	*(/A	uppercase alpha+dasia+oxia
ᾍ	8077	U+1F8D	ᾍ	913,788,769,837	U+391-U+314-U+301-U+345	*(/A|	uppercase alpha+dasia+oxia+hypogegrammeni
Ἃ	7947	U+1F0B	Ἃ	913,788,768	U+391-U+314-U+300	*(\A	uppercase alpha+dasia+varia
ᾋ	7947-837	U+1F0B-U+345	ᾋ	913,788,768,837	U+391-U+314-U+300-U+345	*(\A|	uppercase alpha+dasia+varia+hypogegrammeni
Ἇ	7951	U+1F0F	Ἇ	913,788,834	U+391-U+314-U+342	*(=A	uppercase alpha+dasia+perispomeni
ᾏ	8079	U+1F8F	ᾏ	913,788,834,837	U+391-U+314-U+342-U+345	*(=A|	uppercase alpha+dasia+perispomeni+hypogegrammeni
Β	914	U+392	Β	914	U+392	*B	uppercase beta
Γ	915	U+393	Γ	915	U+393	*G	uppercase gamma
Δ	916	U+394	Δ	916	U+394	*D	uppercase delta
Ε	917	U+395	Ε	917	U+395	*E	uppercase epsilon
Έ	904	U+388	Έ	917,769	U+395-U+301	*/E	uppercase epsilon+oxia
Ὲ	8136	U+1FC8	Ὲ	917,768	U+395-U+300	*\E	uppercase epsilon+varia
Ἐ	7960	U+1F18	Ἐ	917,787	U+395-U+313	*)E	uppercase epsilon+psili
Ἔ	7964	U+1F1C	Ἔ	917,787,769	U+395-U+313-U+301	*)/E	uppercase epsilon+psili+oxia
Ἒ	7962	U+1F1A	Ἒ	917,787,768	U+395-U+313-U+300	*)\E	uppercase epsilon+psili+varia
Ἑ	7961	U+1F19	Ἑ	917,788	U+395-U+314	*(E	uppercase epsilon+dasia
Ἕ	7965	U+1F1D	Ἕ	917,788,769	U+395-U+314-U+301	*(/E	uppercase epsilon+dasia+oxia
Ἓ	7963	U+1F1B	Ἓ	917,788,768	U+395-U+314-U+300	*(\E	uppercase epsilon+dasia+varia
Ζ	918	U+396	Ζ	918	U+396	*Z	uppercase zeta
Η	919	U+397	Η	919	U+397	*H	uppercase eta
ῌ	8140	U+1FCC	ῌ	919,837	U+397-U+345	*|H	uppercase eta+hypogegrammeni
Ή	905	U+389	Ή	919,769	U+397-U+301	*/H	uppercase eta+oxia
Ήͅ	905-837	U+389-U+345	Ήͅ	919,769,837	U+397-U+301-U+345	*/|H	uppercase eta+oxia+hypogegrammeni
Ὴ	8138	U+1FCA	Ὴ	919,768	U+397-U+300	*\H	uppercase eta+varia
Ὴͅ	8138-837	U+1FCA-U+345	Ὴͅ	919,768,837	U+397-U+300-U+345	*\|H	uppercase eta+varia+hypogegrammeni
Ἠ	7976	U+1F28	Ἠ	919,787	U+397-U+313	*)H	uppercase eta+psili
ᾘ	8088	U+1F98	ᾘ	919,787,837	U+397-U+313-U+345	*)|H	uppercase eta+psili+hypogegrammeni
Ἤ	7980	U+1F2C	Ἤ	919,787,769	U+397-U+313-U+301	*)/H	uppercase eta+psili+oxia
ᾜ	8092	U+1F9C	ᾜ	919,787,769,837	U+397-U+313-U+301-U+345	*)/H|	uppercase eta+psili+oxia+hypogegrammeni
Ἢ	7978	U+1F2A	Ἢ	919,787,768	U+397-U+313-U+300	*)\H	uppercase eta+psili+varia
ᾚ	7978-837	U+1F2A-U+345	ᾚ	919,787,768,837	U+397-U+313-U+300-U+345	*)\H|	uppercase eta+psili+varia+hypogegrammeni
Ἡ	7977	U+1F29	Ἡ	919,788	U+397-U+314	*(H	uppercase eta+dasia
ᾙ	8089	U+1F99	ᾙ	919,788,837	U+397-U+314-U+345	*(|H	uppercase eta+dasia+hypogegrammeni
Ἥ	7981	U+1F2D	Ἥ	919,788,769	U+397-U+314-U+301	*(/H	uppercase eta+dasia+oxia
ᾝ	8093	U+1F9D	ᾝ	919,788,769,837	U+397-U+314-U+301-U+345	*(/H|	uppercase eta+dasia+oxia+hypogegrammeni
Ἣ	7979	U+1F2B	Ἣ	919,788,768	U+397-U+314-U+300	*(\H	uppercase eta+dasia+varia
ᾛ	7979-837	U+1F2B-U+345	ᾛ	919,788,768,837	U+397-U+314-U+300-U+345	*(\H|	uppercase eta+dasia+varia+hypogegrammeni
Θ	920	U+398	Θ	920	U+398	*Q	uppercase theta
Ι	921	U+399	Ι	921	U+399	*I	uppercase iota
Ῐ	8152	U+1FD8	Ῐ	921,774	U+399-U+306	*'I	uppercase iota+short_sign
Ῑ	8153	U+1FD9	Ι¯	921,175	U+399-U+AF	*&I	uppercase iota+long_sign
Ί	906	U+38A	Ί	921,769	U+399-U+301	*/I	uppercase iota+oxia
Ὶ	8154	U+1FDA	Ὶ	921,768	U+399-U+300	*\I	uppercase iota+varia
Ἰ	7992	U+1F38	Ἰ	921,787	U+399-U+313	*)I	uppercase iota+psili
